HD电视频道
CCTV-1高清,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-2高清,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-3高清,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-4高清,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV-5+高清,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV-6高清,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-7高清,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV-8高清,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-9高清,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8
CCTV-10高清,http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8
CCTV-12高清,http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8
CCTV-14高清,http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8
CCTV-17高清,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8
CGTN高清,http://ivi.bupt.edu.cn/hls/cgtnhd.m3u8
CGTN DOC高清,http://ivi.bupt.edu.cn/hls/cgtndochd.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
北京卫视高清,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
北京文艺高清,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京影视高清,http://ivi.bupt.edu.cn/hls/btv4hd.m3u8
北京新闻高清,http://ivi.bupt.edu.cn/hls/btv9hd.m3u8
北京冬奥纪实高清,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
湖南卫视高清,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
浙江卫视高清,http://ivi.bupt.edu.cn/hls/zjhd.m3u8
江苏卫视高清,http://ivi.bupt.edu.cn/hls/jshd.m3u8
东方卫视高清,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
安徽卫视高清,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
黑龙江卫视高清,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
辽宁卫视高清,http://ivi.bupt.edu.cn/hls/lnhd.m3u8
